source_file,source_row_number,raw_record_id,date,time,observed_at,needs_review,review_reasons,possible_normalized_duplicate,normalized_duplicate_group,input_raw_record_id,input_source_file,input_source_sheet,input_source_row_number,input_observed_at,input_needs_review,input_review_reasons,water_in_return,mins_added,return_now,nutrient_solution,ph_down,how_much_consumed,leak_or_no,how_many_planted,problems,plant,seed_or_seedling,age,watered_amount,how_many_plants_planted,problems_faced,date_raw,how_much_consumed_raw,leak_or_no_raw,mins_added_raw,ph_down_raw,plant_raw,return_now_raw,seed_or_seedling_raw,time_raw,water_in_return_raw,watered_amount_raw,mins_added_minutes,mins_added_parse_status,water_in_return_liters,water_in_return_liters_parse_status,return_now_liters,return_now_liters_parse_status,how_much_consumed_liters,how_much_consumed_liters_parse_status,watered_amount_liters,watered_amount_liters_parse_status,ph_down_milliliters,ph_down_milliliters_parse_status,leak_reported,problem_notes,planting_notes,water_in_return_liters_possible_outlier,return_now_liters_possible_outlier,how_much_consumed_liters_possible_outlier,watered_amount_liters_possible_outlier,ph_down_milliliters_possible_outlier,mins_added_minutes_possible_outlier,age_raw,date_raw_source,how_many_planted_raw,how_many_plants_planted_raw,how_much_consumed_raw_source,how_much_consumed_liters_raw,input_observed_at_raw,leak_or_no_raw_source,mins_added_raw_source,mins_added_minutes_raw,nutrient_solution_raw,ph_down_raw_source,ph_down_milliliters_raw,plant_raw_source,planting_notes_raw,problem_notes_raw,problems_raw,problems_faced_raw,return_now_raw_source,return_now_liters_raw,seed_or_seedling_raw_source,time_raw_source,water_in_return_raw_source,water_in_return_liters_raw,watered_amount_raw_source,watered_amount_liters_raw,date_date_parse_status,mins_added_minutes_parse_status,mins_added_minutes_numeric_parse_status,water_in_return_liters_numeric_parse_status,return_now_liters_numeric_parse_status,how_much_consumed_liters_numeric_parse_status,watered_amount_liters_numeric_parse_status,ph_down_milliliters_numeric_parse_status
cleaned_data.csv,4,cleaned_data.csv::row_4,2025-08-08,13:20:00,2025-08-08T13:20:00,True,how_much_consumed_contains_context_or_uncertainty,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_4,Water consumption in glasshouse new cycle - original data.xlsx,Towers,4,2025-08-08T13:20:00,True,how_much_consumed_contains_context_or_uncertainty,126L,3 mins,200L,peristaltic pumps,10ml,4L in 2 hours?,yes R1,all except 1 unit,rotation and lights off when I arrive,,,,,,,2025-08-08 00:00:00,4L in 2 hours?,yes R1,3 mins,10ml,,200L,,13:20:00,126L,,3.0,parsed,126.0,parsed,200.0,parsed,4.0,parsed,,missing,10.0,parsed,True,rotation and lights off when I arrive,all except 1 unit,False,False,False,False,False,False,,2025-08-08,all except 1 unit,,4L in 2 hours?,4.0,2025-08-08T13:20:00,yes R1,3 mins,3.0,peristaltic pumps,10ml,10.0,,all except 1 unit,rotation and lights off when I arrive,rotation and lights off when I arrive,,200L,200.0,,13:20:00,126L,126.0,,,parsed,parsed,parsed,parsed,parsed,parsed,missing,parsed
cleaned_data.csv,5,cleaned_data.csv::row_5,2025-08-11,11:52:00,2025-08-11T11:52:00,True,how_much_consumed_contains_context_or_uncertainty; water_in_return_liters_possible_outlier; how_much_consumed_liters_possible_outlier,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_5,Water consumption in glasshouse new cycle - original data.xlsx,Towers,5,2025-08-11T11:52:00,True,how_much_consumed_contains_context_or_uncertainty; water_in_return_liters_possible_outlier; how_much_consumed_liters_possible_outlier,60L,3 mins,135L,peristaltic pumps,10ml,140L (weekend),yes R1,all except 1 unit,rotation and lights off when I arrive,,,,,,,2025-08-11 00:00:00,140L (weekend),yes R1,3 mins,10ml,,135L,,11:52:00,60L,,3.0,parsed,60.0,parsed,135.0,parsed,140.0,parsed,,missing,10.0,parsed,True,rotation and lights off when I arrive,all except 1 unit,True,False,True,False,False,False,,2025-08-11,all except 1 unit,,140L (weekend),140.0,2025-08-11T11:52:00,yes R1,3 mins,3.0,peristaltic pumps,10ml,10.0,,all except 1 unit,rotation and lights off when I arrive,rotation and lights off when I arrive,,135L,135.0,,11:52:00,60L,60.0,,,parsed,parsed,parsed,parsed,parsed,parsed,missing,parsed
cleaned_data.csv,6,cleaned_data.csv::row_6,2025-08-12,14:12:00,2025-08-12T14:12:00,True,mins_added_duration_requires_review,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_6,Water consumption in glasshouse new cycle - original data.xlsx,Towers,6,2025-08-12T14:12:00,True,mins_added_not_machine_parseable,90L,manually,160L,peristaltic pumps,15ml,45L,yes R1,all except 1 unit,electricity kept turning on and off,,,,,,,2025-08-12 00:00:00,45L,yes R1,manually,15ml,,160L,,14:12:00,90L,,,manual_entry,90.0,parsed,160.0,parsed,45.0,parsed,,missing,15.0,parsed,True,electricity kept turning on and off,all except 1 unit,False,False,False,False,False,False,,2025-08-12,all except 1 unit,,45L,45.0,2025-08-12T14:12:00,yes R1,manually,,peristaltic pumps,15ml,15.0,,all except 1 unit,electricity kept turning on and off,electricity kept turning on and off,,160L,160.0,,14:12:00,90L,90.0,,,parsed,manual_entry,missing,parsed,parsed,parsed,missing,parsed
cleaned_data.csv,9,cleaned_data.csv::row_9,2025-08-14,16:00:00,2025-08-14T16:00:00,True,mins_added_duration_requires_review,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_9,Water consumption in glasshouse new cycle - original data.xlsx,Towers,9,2025-08-14T16:00:00,True,mins_added_not_machine_parseable,,manually,230L,700 A 700 B,,,yes R1,all except 1 tower,,,,,,,,2025-08-14 00:00:00,-,yes R1,manually,-,,230L,,16:00:00,-,,,manual_entry,,missing,230.0,parsed,,missing,,missing,,missing,True,,all except 1 tower,False,False,False,False,False,False,,2025-08-14,all except 1 tower,,,,2025-08-14T16:00:00,yes R1,manually,,700 A 700 B,,,,all except 1 tower,,,,230L,230.0,,16:00:00,,,,,parsed,manual_entry,missing,missing,parsed,missing,missing,missing
cleaned_data.csv,10,cleaned_data.csv::row_10,2025-08-17,13:37:00,2025-08-17T13:37:00,True,how_much_consumed_liters_possible_outlier,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_10,Water consumption in glasshouse new cycle - original data.xlsx,Towers,10,2025-08-17T13:37:00,True,how_much_consumed_liters_possible_outlier,123L,2 mins,160L,peristaltic pumps,,107L,yes R1 ALOT,all except 1 tower,rotation and lights off when I arrive,,,,,,,2025-08-17 00:00:00,107L,yes R1 ALOT,2 mins,-,,160L,,13:37:00,123L,,2.0,parsed,123.0,parsed,160.0,parsed,107.0,parsed,,missing,,missing,True,rotation and lights off when I arrive,all except 1 tower,False,False,True,False,False,False,,2025-08-17,all except 1 tower,,107L,107.0,2025-08-17T13:37:00,yes R1 ALOT,2 mins,2.0,peristaltic pumps,,,,all except 1 tower,rotation and lights off when I arrive,rotation and lights off when I arrive,,160L,160.0,,13:37:00,123L,123.0,,,parsed,parsed,parsed,parsed,parsed,parsed,missing,missing
cleaned_data.csv,12,cleaned_data.csv::row_12,2025-08-19,11:37:00,2025-08-19T11:37:00,True,mins_added_duration_requires_review,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_12,Water consumption in glasshouse new cycle - original data.xlsx,Towers,12,2025-08-19T11:37:00,True,mins_added_not_machine_parseable,120L,manually,200L,peristaltic pumps,,30L,yes R1 ALOT,all except 1 tower,rotation and lights off when I arrive,,,,,,,2025-08-19 00:00:00,30L,yes R1 ALOT,manually,-,,200L,,11:37:00,120L,,,manual_entry,120.0,parsed,200.0,parsed,30.0,parsed,,missing,,missing,True,rotation and lights off when I arrive,all except 1 tower,False,False,False,False,False,False,,2025-08-19,all except 1 tower,,30L,30.0,2025-08-19T11:37:00,yes R1 ALOT,manually,,peristaltic pumps,,,,all except 1 tower,rotation and lights off when I arrive,rotation and lights off when I arrive,,200L,200.0,,11:37:00,120L,120.0,,,parsed,manual_entry,missing,parsed,parsed,parsed,missing,missing
cleaned_data.csv,13,cleaned_data.csv::row_13,2025-08-20,11:50:00,2025-08-20T11:50:00,True,mins_added_duration_requires_review,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_13,Water consumption in glasshouse new cycle - original data.xlsx,Towers,13,2025-08-20T11:50:00,True,mins_added_not_machine_parseable,126L,manually,200L,peristaltic pumps,,74L,yes R1 ALOT and 2 cylinders in R1,all except 1 tower,rotation and lights off when I arrive,,,,,,,2025-08-20 00:00:00,74L,yes R1 ALOT and 2 cylinders in R1,manually,-,,200L,,11:50:00,126L,,,manual_entry,126.0,parsed,200.0,parsed,74.0,parsed,,missing,,missing,True,rotation and lights off when I arrive,all except 1 tower,False,False,False,False,False,False,,2025-08-20,all except 1 tower,,74L,74.0,2025-08-20T11:50:00,yes R1 ALOT and 2 cylinders in R1,manually,,peristaltic pumps,,,,all except 1 tower,rotation and lights off when I arrive,rotation and lights off when I arrive,,200L,200.0,,11:50:00,126L,126.0,,,parsed,manual_entry,missing,parsed,parsed,parsed,missing,missing
cleaned_data.csv,14,cleaned_data.csv::row_14,2025-08-20,12:58:00,2025-08-20T12:58:00,True,how_much_consumed_contains_context_or_uncertainty,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_14,Water consumption in glasshouse new cycle - original data.xlsx,Towers,14,2025-08-20T12:58:00,True,how_much_consumed_contains_context_or_uncertainty; water_in_return_liters_possible_outlier,196L,,,peristaltic pumps,,4L in 1 cycle!!!,yes R1 ALOT and 2 cylinders in R1,all except 1 tower,for 24 cycles we lost 74L so around 3.08L per cycle (leak),,,,,,,2025-08-20 00:00:00,4L in 1 cycle!!!,yes R1 ALOT and 2 cylinders in R1,-,-,,-,,12:58:00,196L,,,missing,196.0,parsed,,missing,4.0,parsed,,missing,,missing,True,for 24 cycles we lost 74L so around 3.08L per cycle (leak),all except 1 tower,False,False,False,False,False,False,,2025-08-20,all except 1 tower,,4L in 1 cycle!!!,4.0,2025-08-20T12:58:00,yes R1 ALOT and 2 cylinders in R1,,,peristaltic pumps,,,,all except 1 tower,for 24 cycles we lost 74L so around 3.08L per cycle (leak),for 24 cycles we lost 74L so around 3.08L per cycle (leak),,,,,12:58:00,196L,196.0,,,parsed,missing,missing,parsed,missing,parsed,missing,missing
cleaned_data.csv,17,cleaned_data.csv::row_17,2025-08-25,08:51:00,2025-08-25T08:51:00,True,how_much_consumed_contains_context_or_uncertainty; how_much_consumed_liters_possible_outlier,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_17,Water consumption in glasshouse new cycle - original data.xlsx,Towers,17,2025-08-25T08:51:00,True,how_much_consumed_contains_context_or_uncertainty; how_much_consumed_liters_possible_outlier,90L,3 mins,150L,peristaltic pumps,10ml,140L (weekend),no more leaking,all except 1 tower,,,,,,,,2025-08-25 00:00:00,140L (weekend),no more leaking,3 mins,10ml,,150L,,08:51:00,90L,,3.0,parsed,90.0,parsed,150.0,parsed,140.0,parsed,,missing,10.0,parsed,False,,all except 1 tower,False,False,True,False,False,False,,2025-08-25,all except 1 tower,,140L (weekend),140.0,2025-08-25T08:51:00,no more leaking,3 mins,3.0,peristaltic pumps,10ml,10.0,,all except 1 tower,,,,150L,150.0,,08:51:00,90L,90.0,,,parsed,parsed,parsed,parsed,parsed,parsed,missing,parsed
cleaned_data.csv,18,cleaned_data.csv::row_18,2025-08-25,10:54:00,2025-08-25T10:54:00,True,mins_added_duration_requires_review,False,,Water consumption in glasshouse new cycle - original data.xlsx::Towers::row_18,Water consumption in glasshouse new cycle - original data.xlsx,Towers,18,2025-08-25T10:54:00,True,mins_added_not_machine_parseable,150L,manually,200L,peristaltic pumps,,,no more leaking,all except 1 tower,,,,,,,,2025-08-25 00:00:00,-,no more leaking,manually,-,,200L,,10:54:00,150L,,,manual_entry,150.0,parsed,200.0,parsed,,missing,,missing,,missing,False,,all except 1 tower,False,False,False,False,False,False,,2025-08-25,all except 1 tower,,,,2025-08-25T10:54:00,no more leaking,manually,,peristaltic pumps,,,,all except 1 tower,,,,200L,200.0,,10:54:00,150L,150.0,,,parsed,manual_entry,missing,parsed,parsed,missing,missing,missing
